wkt_geom,상가업소번,상호명,지점명,상권업종대,상권업종_1,상권업종중,상권업종_2,상권업종소,상권업종_3,표준산업분,표준산업_1,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
Point (192469.23287479297141545 449929.21596944349585101),16670295,셋넷모바일,,D,소매,D18,사진/광학/정밀기기소매,D18A02,핸드폰소매,G47312,통신기기 소매업,11,서울특별시,11440,마포구,1144068000,합정동,1144012200,합정동,1.14E+18,1,대지,414,20,서울특별시 마포구 합정동 414-20,1.14403E+11,서울특별시 마포구 독막로,11,,1.14E+23,,서울특별시 마포구 독막로 11,121883,4046,,1,,126.9147793,37.54884946
Point (193004.75475844062748365 450069.91685892821988091),16426730,더통큰구이,,Q,음식,Q01,한식,Q01A04,한정식전문,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,403,1,서울특별시 마포구 서교동 403-1,1.14403E+11,서울특별시 마포구 어울마당로,55,1,1.14E+23,,서울특별시 마포구 어울마당로 55-1,121895,4048,,2,,126.9208381,37.55012139
Point (192671.252497143286746 450021.36739640944870189),16701484,포차드링크,,Q,음식,Q09,유흥주점,Q09A02,소주방/포장마차,I56219,기타 주점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,395,28,서울특별시 마포구 서교동 395-28,1.14404E+11,서울특별시 마포구 독막로3길,29,,1.14E+23,,서울특별시 마포구 독막로3길 29,121840,4044,,,,126.9170645,37.54968137
Point (193151.02039109205361456 449857.46482727688271552),16731927,엠프티플레이트,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144065500,서강동,1144011500,상수동,1.14E+18,1,대지,146,23,서울특별시 마포구 상수동 146-23,1.14403E+11,서울특별시 마포구 와우산로,39,12,1.14E+23,,서울특별시 마포구 와우산로 39-12,121828,4049,,,,126.9224953,37.5482083
Point (192998.10824125391081907 450036.84467939287424088),16643884,모센즈스위트,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,403,3,서울특별시 마포구 서교동 403-3,1.14403E+11,서울특별시 마포구 어울마당로,51,1,1.14E+23,,서울특별시 마포구 어울마당로 51-1,121895,4048,,,,126.9207632,37.54982336
Point (192981.54003639399888925 449995.66765450703678653),20686793,산더미불고기,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,403,16,서울특별시 마포구 서교동 403-16,1.14403E+11,서울특별시 마포구 어울마당로,47,,1.14E+23,,서울특별시 마포구 어울마당로 47,121895,4048,,1,,126.9205761,37.54945223
Point (192956.52475725681870244 449997.40137158619472757),16871494,허인영부동산,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,403,22,서울특별시 마포구 서교동 403-22,1.14404E+11,서울특별시 마포구 독막로9길,28,,1.14E+23,실버스톤II,서울특별시 마포구 독막로9길 28,121895,4048,,,404,126.920293,37.54946766
Point (192779.52238638859125786 449902.5153476323466748),16602985,피자네버슬립스,,Q,음식,Q07,패스트푸드,Q07A01,피자전문,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",11,서울특별시,11440,마포구,1144066000,서교동,1144012000,서교동,1.14E+18,1,대지,400,13,서울특별시 마포구 서교동 400-13,1.14404E+11,서울특별시 마포구 양화로6길,73,,1.14E+23,,서울특별시 마포구 양화로6길 73,121895,4047,,,,126.9182909,37.54861137
Point (192430.55032414742163382 449992.80623211502097547),20290326,서서카페,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11440,마포구,1144068000,합정동,1144012200,합정동,1.14E+18,1,대지,414,12,서울특별시 마포구 합정동 414-12,1.14403E+11,서울특별시 마포구 양화로,48,,1.14E+23,강서정형외과,서울특별시 마포구 양화로 48,121883,4046,,1,,126.9143409,37.54942209
Point (193054.3855589602899272 449916.43975465628318489),17145126,언컴코드,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11440,마포구,1144065500,서강동,1144011500,상수동,1.14E+18,1,대지,312,4,서울특별시 마포구 상수동 312-4,1.14404E+11,서울특별시 마포구 와우산로11길,28,,1.14E+23,,서울특별시 마포구 와우산로11길 28,121829,4049,,,,126.9214012,37.54873894
